+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.286153;0.139105;0.253084;0.332192;0.20263;0.339074;0;1;0;0;0;
0.25238;0.149595;0.22417;0.296995;0.187373;0.358974;0;1;0;0;0;
0.208012;0.142791;0.190179;0.265186;0.191691;0.394574;0;1;0;0;0;
0.187478;0.153143;0.163594;0.225737;0.181587;0.412133;0;1;0;0;0;
0.143693;0.149567;0.120508;0.193614;0.188402;0.4496;0;1;0;0;0;
0.183337;0.0735237;0.697557;0.180294;0.0800539;0.0330591;0;1;0;0;0;
0.188639;0.0855354;0.661059;0.193822;0.0846827;0.0692844;0;1;0;0;0;
0.765718;0.0743389;0.621687;0.181976;0.0802427;0.0940676;0;1;0;0;0;
0.729298;0.0828861;0.601902;0.189901;0.0830811;0.116875;0;1;0;0;0;
0.70022;0.079089;0.570679;0.188697;0.0764716;0.147085;0;1;0;0;0;
0.667239;0.0819909;0.544902;0.184351;0.0914299;0.179096;0;1;0;0;0;
0.629513;0.0844894;0.514234;0.179088;0.0875854;0.216261;0;1;0;0;0;
0.594219;0.089959;0.48602;0.195006;0.0735396;0.24485;0;1;0;0;0;
0.567929;0.0781232;0.45365;0.186951;0.0916248;0.271946;0;1;0;0;0;
0.522687;0.0730568;0.42626;0.195009;0.0767002;0.305043;0;1;0;0;0;
0.493756;0.0842739;0.393302;0.179426;0.0862866;0.320828;0;1;0;0;0;
0.455894;0.0780625;0.376817;0.178249;0.0914306;0.3581;0;1;0;0;0;
0.433106;0.405379;0.333708;0.179978;0.0839717;0.395448;0;1;0;0;0;
0.394887;0.416047;0.313745;0.188209;0.0830765;0.412834;0;1;0;0;0;
0.362502;0.417895;0.285115;0.176906;0.0839013;0.450131;0;1;0;0;0;
0.327272;0.412601;0.257732;0.180237;0.0800207;0.482837;0;1;0;0;0;
0.291814;0.406031;0.227691;0.191565;0.0922514;0.504727;0;1;0;0;0;
0.259602;0.415735;0.197879;0.184786;0.0784896;0.528293;0;1;0;0;0;
0.217907;0.408099;0.16491;0.190199;0.0834334;0.567973;0;0;0;1;0;
0.234901;0.420811;0.160346;0.19945;0.0749448;0.571741;0;0;0;1;0;
0.276423;0.429911;0.172627;0.188039;0.0886343;0.568702;0;0;0;1;0;
